Family,Genus,Infrageneric Level I,Infrageneric Level II,Infrageneric Level III,Infrageneric Level IV,Species,Common Name
Pinaceae,,,,,,,Pine Family
,Abies,,,,,,Fir
,,Section Abies,,,,,
,,,,,,alba,Silver fir
,,,,,,borisii-regis,King Boris fir
,,,,,,bornmuelleriana,Turkish fir
,,,,,,bornmuelleriana ssp. equi-trojani,Trojan fir
,,,,,,bornmuelleriana ssp. olcayana,Chataldag fir
,,,,,,cephalonica,Greek fir
,,,,,,cilicica,Cilician fir
,,,,,,cilicica ssp. isaurica,Isaurian fir
,,,,,,× insignis ,
,,,,,,nebrodensis,Sicilian fir
,,,,,,nordmanniana,Nordmann fir
,,,,,,numidica,Algerian fir
,,,,,,pinsapo,Spanish fir
,,,,,,pinsapo ssp. marocana,Moroccan fir
,,,,,,pinsapo ssp. marocana var. tazaotana,Mt. Tazaot fir
,,,,,,× vilmorinii,
,,Section Amabilis,,,,,
,,,,,,amabilis,Pacific silver fir
,,,,,,mariesii,Maries' fir
,,Section Balsamea,,,,,
,,,,,,× arnoldiana,
,,,,,,balsamea,Balsam fir
,,,,,,balsamea var. phanerolepis,Canaan fir
,,,,,,fraseri,Fraser fir
,,,,,,koreana,Korean fir
,,,,,,lasiocarpa,Subalpine fir
,,,,,,nephrolepis,Manchurian fir
,,,,,,sachalinensis,Sakhalin fir
,,,,,,sibirica,Siberian fir
,,,,,,veitchii,Veitch's fir
,,,,,,koreana × lasiocarpa ,Koreocarpa fir
,,,,,,Section Bracteata,Bristlecone fir
,,,,,,bracteata,Bristlecone fir
,,,,,,Section Grandis,Grand firs
,,,,,,concolor,White fir
,,,,,,durangensis,Durango fir
,,,,,,flinckii,Jalisco fir
,,,,,,grandis,Grand fir
,,,,,,guatemalensis,Guatemalan fir
,,,,,,hickelii,Oaxacan fir
,,,,,,religiosa,Sacred fir
,,,,,,vejarii,Vejar's fir
,,Section Nobilis,,,,,
,,,,,,magnifica,California red fir
,,,,,,procera,Noble fir
,,,,,,× shastensis,Shasta fir
,,Section Pseudopicea,,,,,
,,,,,,beshanzuensis,Baishan fir
,,,,,,× chengii,Cheng's fir
,,,,,,chensiana,River fir
,,,,,,delavayi,Delavay's fir
,,,,,,densa,Bhutan fir
,,,,,,ernestii,Wilson's fir
,,,,,,fabri,Faber's fir
,,,,,,fanjingshanensis,Fanjingshan fir
,,,,,,fargesii,Farges fir
,,,,,,fargesii var. faxoniana,Faxon's fir
,,,,,,firma,Momi fir
,,,,,,forrestii,Forrest's fir
,,,,,,georgei,Rusty fir
,,,,,,holophylla,Needle fir
,,,,,,homolepis,Nikko fir
,,,,,,nukiangensis,Nukiang fir
,,,,,,pindrow,West Himalayan fir
,,,,,,recurvata,Min fir
,,,,,,salouenensis,Salween fir
,,,,,,spectabilis,East Himalayan fir
,,,,,,squamata,Flaky fir
,,,,,,× umbellata ,Dimplecone fir
,,,,,,yuanbaoshanensis,Yuanbaoshan fir
,,,,,,ziyuanensis,Zhihuan fir
,Cathaya,,,,,,Silver-fir
,,,,,,argyrophylla,Chinese silver-fir
,Cedrus,,,,,,
,,,,,,atlantica,Atlas cedar
,,,,,,brevifolia,Cypriot cedar
,,,,,,deodara,Deodar cedar
,,,,,,libani ,Cedar of Lebanon
,,,,,,libani var. stenocoma,Taurus cedar
,Keteleeria,,,,,davidiana,
,,,,,,evelyniana,
,,,,,,fortunei,
,Larix,,,,,,Larch
,,North American Clade,,,,,
,,,,,,laricina,American larch
,,,,,,lyallii,Alpine larch
,,,,,,occidentalis,Western larch
,,North Eurasian Clade,,,,,
,,,,,,archangelica,Russian larch
,,,,,,× czekanowskii,Taiga larch
,,,,,,decidua,European larch
,,,,,,decidua var. carpatica,Carpathian larch
,,,,,,decidua var. polonica,Polish larch
,,,,,,gmelinii,Dahurian larch
,,,,,,gmelinii var. japonica,Kuril larch
,,,,,,gmelinii var. olgensis,Olga Bay Larch
,,,,,,gmelinii var. principis-rupprechtii,North China larch
,,,,,,kaempferi,Japanese larch
,,,,,,× marschlinsii,Dunkeld larch
,,,,,,sibirica,Siberian larch
,,South Asian Clade,,,,,
,,,,,,griffithii,Sikkim larch
,,,,,,griffithii var. speciosa,Yunnan larch
,,,,,,kongboensis,Kongbo larch
,,,,,,mastersiana,Sichuan larch
,,,,,,potaninii,Rusty larch
,,,,,,potaninii var. chinensis,Chinese larch
,,,,,,potaninii var. himalaica,Langtang larch
,Nothotsuga,,,,,,Bristlecone-hemlock
,,,,,,longibracteata,Bristlecone-hemlock
,Picea,,,,,,Spruce
,,,,,,abies,Norway spruce
,,,,,,× albertiana,
,,,,,,alcoquiana,Alcock spruce
,,,,,,alcoquiana var. acicularis,
,,,,,,alcoquiana var. reflexa,
,,,,,,asperata,Dragon spruce
,,,,,,asperata var. notabilis,
,,,,,,asperata var. ponderosa,
,,,,,,aurantiaca,Orange spruce
,,,,,,brachytyla,Sargent spruce
,,,,,,brachytyla var. complanata,
,,,,,,chihuahuana,Chihuahua spruce
,,,,,,crassifolia,Qinghai spruce
,,,,,,engelmannii,Engelmann spruce
,,,,,,engelmannii ssp. mexicana,Mexican spruce
,,,,,,farreri,Burmese spruce
,,,,,,× fennica,
,,,,,,glauca,White spruce
,,,,,,glauca var. densata,Black Hills spruce
,,,,,,glehnii,Sakhalin spruce
,,,,,,jezoensis,Yezo spruce
,,,,,,jezoensis ssp. jezoensis var. komarovii,Yellow Yezo spruce
,,,,,,jezoensis ssp. hondoensis,Hondo spruce
,,,,,,koraiensis,Korean spruce
,,,,,,koyamae,Koyama spruce
,,,,,,likiangensis,Lijiang spruce
,,,,,,likiangensis var. hirtella,
,,,,,,likiangensis var. linzhiensis,
,,,,,,likiangensis var. rubescens,
,,,,,,× lutzii,Lutz's spruce
,,,,,,mariana,Black spruce
,,,,,,martinezii,Nuevo León spruce
,,,,,,maximowiczii,Japanese bush spruce
,,,,,,meyeri,Meyer spruce
,,,,,,morrisonicola,Taiwan spruce
,,,,,,neoveitchii,Hubei spruce
,,,,,,obovata ,Siberian spruce
,,,,,,omorika,Serbian spruce
,,,,,,orientalis,Oriental spruce
,,,,,,pungens,Colorado blue spruce
,,,,,,purpurea,Purplecone spruce
,,,,,,retroflexa,Tapaoshan spruce
,,,,,,rubens,Red spruce
,,,,,,schrenkiana,Snowridge spruce
,,,,,,schrenkiana ssp. tianschanica,Tianshan spruce
,,,,,,sikangensis,
,,,,,,sitchensis,Sitka spruce
,,,,,,smithiana,Morinda spruce
,,,,,,spinulosa,Sikkim spruce
,,,,,,torano,Tigertail spruce
,,,,,,wilsonii,Wilson's spruce
,Pinus,,,,,,Pine
,,Subgenus Pinus,,,,,
,,,Section Pinus,,,,
,,,,Subsection Pinus,,,
,,,,,,densata,Sikang pine
,,,,,,densiflora,Japanese red pine
,,,,,,densiflora var. ussuriensis,Ussurian red pine
,,,,,,densiflora var. zhangwuensis,Zhangwu red pine
,,,,,,× densithunbergii,Japanese hybrid pine
,,,,,,henryi,Henry's pine
,,,,,,hwangshanensis,Huangshan pine
,,,,,,kesiya,Khasi pine
,,,,,,latteri,Tenasserim pine
,,,,,,luchuensis,Luchu pine
,,,,,,massoniana,Chinese red pine
,,,,,,merkusii,Sumatran pine
,,,,,,mugo,Dwarf mountain pine
,,,,,,× neilreichiana,
,,,,,,nigra,Austrian pine
,,,,,,nigra ssp. dalmatica,Dalmatian pine
,,,,,,nigra ssp. laricio,Corsican pine
,,,,,,nigra ssp. pallasiana,Crimean pine
,,,,,,nigra ssp. salzmannii,Spanish pine
,,,,,,resinosa,American red pine
,,,,,, rhaetica,Rhaetic pine
,,,,,,× rotundata,European mountain pine
,,,,,,sylvestris,Scotch pine
,,,,,,tabuliformis,Chinese red pine
,,,,,,tabuliformis var. mukdensis,North Korean pine
,,,,,,tabuliformis var. umbraculifera,
,,,,,,taiwanensis,Taiwan red pine
,,,,,,thunbergii,Japanese black pine
,,,,,,tropicalis,Tropical pine
