species-name,common-name,family-name,genus-name,infrageneric-level-I
laricina,American larch,Pinaceae,Larix,North American Clade
lyallii,Alpine larch,Pinaceae,Larix,North American Clade
occidentalis,Western larch,Pinaceae,Larix,North American Clade
archangelica,Russian larch,Pinaceae,Larix,North Eurasian Clade
× czekanowskii,Taiga larch,Pinaceae,Larix,North Eurasian Clade
decidua,European larch,Pinaceae,Larix,North Eurasian Clade
decidua var. carpatica,Carpathian larch,Pinaceae,Larix,North Eurasian Clade
decidua var. polonica,Polish larch,Pinaceae,Larix,North Eurasian Clade
gmelinii,Dahurian larch,Pinaceae,Larix,North Eurasian Clade
gmelinii var. japonica,Kuril larch,Pinaceae,Larix,North Eurasian Clade
gmelinii var. olgensis,Olga Bay Larch,Pinaceae,Larix,North Eurasian Clade
gmelinii var. principis-rupprechtii,North China larch,Pinaceae,Larix,North Eurasian Clade
kaempferi,Japanese larch,Pinaceae,Larix,North Eurasian Clade
× marschlinsii,Dunkeld larch,Pinaceae,Larix,North Eurasian Clade
sibirica,Siberian larch,Pinaceae,Larix,North Eurasian Clade
griffithii,Sikkim larch,Pinaceae,Larix,South Asian Clade
griffithii var. speciosa,Yunnan larch,Pinaceae,Larix,South Asian Clade
kongboensis,Kongbo larch,Pinaceae,Larix,South Asian Clade
mastersiana,Sichuan larch,Pinaceae,Larix,South Asian Clade
potaninii,Rusty larch,Pinaceae,Larix,South Asian Clade
potaninii var. chinensis,Chinese larch,Pinaceae,Larix,South Asian Clade
potaninii var. himalaica,Langtang larch,Pinaceae,Larix,South Asian Clade
