species-name,common-name,family-name,genus-name,infrageneric-level-I,infrageneric-level-II,infrageneric-level-III
densata,Sikang pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
densiflora,Japanese red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
densiflora var. ussuriensis,Ussurian red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
densiflora var. zhangwuensis,Zhangwu red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
× densithunbergii,Japanese hybrid pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
henryi,Henry's pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
hwangshanensis,Huangshan pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
kesiya,Khasi pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
latteri,Tenasserim pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
luchuensis,Luchu pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
massoniana,Chinese red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
merkusii,Sumatran pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
mugo,Dwarf mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
× neilreichiana,,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
nigra,Austrian pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
nigra ssp. dalmatica,Dalmatian pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
nigra ssp. laricio,Corsican pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
nigra ssp. pallasiana,Crimean pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
nigra ssp. salzmannii,Spanish pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
resinosa,American red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
rhaetica,Rhaetic pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
× rotundata,European mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
sylvestris,Scotch pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
tabuliformis,Chinese red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
tabuliformis var. mukdensis,North Korean pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
tabuliformis var. umbraculifera,,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
taiwanensis,Taiwan red pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
thunbergii,Japanese black pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
tropicalis,Tropical pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
uncinata,Swiss mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
yunnanensis,Yunnan pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinus
brutia,Turkish pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
brutia var. eldarica,Calabrian pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
canariensis,Canary Island pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
halepensis,Aleppo pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
heldreichii,Bosnian pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
heldreichii var. leucodermis,Whitebark Bosnian pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
pinaster,Maritime pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
pinea,Italian stone pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
roxburghii,Chir pine,Pinaceae,Pinus,Subgenus Pinus,Section Pinus,Subsection Pinaster
attenuata,Knobcone pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Attenuatae
× attenuradiata,KMX pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Attenuatae
muricata,Bishop pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Attenuatae
radiata,Monterey pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Attenuatae
radiata var. binata,Guadelupe Island pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Attenuatae
caribaea,Caribbean pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
cubensis,Cuban pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
echinata,Shortleaf pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
elliottii,Slash pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
georginae,Amado's pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
glabra,Spruce pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
greggii,Gregg pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
herrerae,Herrera pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
jaliscana,Jalisco pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
lawsonii,Lawson's pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
leiophylla,Smoothleaf pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
leiophylla var. chihuahuana,Chihuahua pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
lumholtzii,Lumholtz weeping pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
luzmariae,Three-needle eggcone pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
occidentalis,Hispaniola pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
oocarpa,Mexican eggcone pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
palustris,Longleaf pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
patula,Mexican weeping pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
praetermissa,Mexican scrub pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
pringlei,Pringle's pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
pungens,Table mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
rigida,Pitch pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
serotina,Pond pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
taeda,Loblolly pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
