species-name,common-name,family-name,genus-name,infrageneric-level-I
canadensis,Eastern hemlock,Pinaceae,Tsuga,
caroliniana,Carolina hemlock,Pinaceae,Tsuga,
chinensis,Chinese hemlock,Pinaceae,Tsuga,
chinensis var. oblongisquamata,Long-scale Chinese hemlock,Pinaceae,Tsuga,
chinensis var. robusta,,Pinaceae,Tsuga,
chinensis var. tchekiangensis,,Pinaceae,Tsuga,
diversifolia,Northern Japanese hemlock,Pinaceae,Tsuga,
dumosa,Himalayan hemlock,Pinaceae,Tsuga,
formosana,Taiwan hemlock,Pinaceae,Tsuga,
forrestii,Lijiang hemlock,Pinaceae,Tsuga,
heterophylla,Western hemlock,Pinaceae,Tsuga,
mertensiana,Mountain hemlock,Pinaceae,Tsuga,
sieboldii,Southern Japanese hemlock,Pinaceae,Tsuga,
ulleungensis,Ullung hemlock,Pinaceae,Tsuga,
